beta, gamma, t0 
0.0405498, 0.733052, 0.233817
0.0363471, 0.740476, 0.244649
0.0381789, 0.812985, 0.17924
0.0389074, 0.739401, 0.419798
0.040264, 1.00064, -0.714677
0.027421, 0.814182, 0.0344554
0.0367507, 0.727162, 0.398644
0.0416888, 0.903003, 0.157492
0.0400942, 0.786198, 0.316513
0.0379539, 1.12126, -0.0554945
0.037389, 0.83787, 0.263114
0.0281958, 1.19369, -0.0153165
0.0466537, 1.04188, -0.0603657
0.0469107, 0.941084, 0.0492574
0.0347389, 1.0486, 0.184841
0.0407697, 1.24232, 0.17882
0.0563253, 0.997941, 0.0967476
0.0456361, 0.860397, -0.0889663
0.0330243, 1.17887, -0.426133
0.0515024, 0.969012, -0.199646
0.0412955, 1.24979, 0.223579
0.0443304, 1.20823, 0.146472
0.03307, 1.22193, 0.256193
0.0461996, 1.18185, 0.128189
0.0523978, 1.30277, 0.294727
0.062228, 1.18198, 0.167856
0.0669951, 1.32969, 0.160428
0.0613351, 1.25246, 0.229632
0.0533251, 1.06387, -0.141995
0.0391058, 1.2852, 0.364102
0.0395595, 1.25238, 0.347044
0.0545707, 1.08934, 0.316607
0.0260816, 0.809496, -0.0151887
0.0311754, 0.862593, -0.224243
0.0266788, 0.749628, -0.441677
0.0255119, 0.639795, 0.106355
0.0274715, 0.523804, -0.238066
0.0343584, 0.450662, 0.0244822
0.0300746, 0.520359, -0.359482
0.0343421, 0.667011, -0.546127
0.0357726, 0.790695, -0.788978
0.0276516, 0.508185, -1.35248
0.0253873, 0.49517, -2.36709
0.0204895, 0.491064, -0.430747
0.0217781, 0.455303, -0.284511
0.0260077, 0.657976, -0.537896
0.0318731, 0.548906, -0.630392
0.0318585, 0.696867, -0.201983
0.0288664, 0.969248, 0.0456864
0.0279344, 0.938334, -0.0896019
0.0417153, 1.04525, -0.195262
0.0379185, 0.634441, -1.44274
0.0215867, 0.820824, -0.420375
0.027575, 0.739017, -0.653615
0.0265312, 0.606093, -0.637115
0.0263079, 0.533473, -0.807797
0.0223243, 0.694828, -0.919468
0.0247095, 0.641865, -0.62508
0.0310245, 0.590942, -0.304536
0.0248956, 0.549363, -0.713878
0.0219049, 0.510229, -0.965274
0.0315098, 0.563925, -0.837277
0.0274091, 0.524797, -1.81753
0.0276163, 0.566884, -0.376485
0.0232619, 0.906453, -0.433052
0.0290443, 0.636289, -0.466127
0.0286718, 0.786661, -0.442631
0.0245498, 0.635919, -0.00543476
0.0278269, 0.887711, -0.0698526
0.0376834, 0.901996, -0.033153
0.0373897, 1.10014, 0.0435744
0.0314885, 1.18889, -0.252908
0.0326584, 0.810203, -0.547091
0.0311008, 0.72422, -0.274724
0.0365451, 0.701314, -0.194679
0.0352201, 0.781025, 0.0309384
0.0426801, 0.886416, -0.893522
0.0332898, 1.1003, -1.16727
0.0331678, 0.76425, -1.24356
0.0339108, 0.88196, -0.782934
0.0283835, 0.898564, -0.326308
0.0483709, 0.945346, -0.762747
0.0298147, 0.680299, -0.425042
0.0246816, 0.97922, -0.389314
0.0353737, 0.981833, -0.512925
0.0315214, 0.950207, 0.113925
0.044556, 0.814372, 0.170923
0.0348892, 1.11538, 0.00970214
0.0452272, 0.730767, 0.428115
0.0316658, 0.850461, 0.472081
0.0474859, 0.976068, 0.00158369
0.027928, 0.818065, 0.387032
0.0480055, 0.858189, 0.262903
0.043519, 0.82406, 0.220841
0.0318305, 0.915263, -0.0950888
0.0347422, 0.713427, 0.312105
0.042348, 1.19602, -0.119158
0.0301844, 0.645204, 0.226671
0.0288707, 0.703678, 0.173214
0.0266102, 0.896812, 0.0663076
0.0307434, 0.831525, -0.228846
0.0312188, 0.614712, -0.069417
0.0256057, 1.00368, 0.228454
0.0388462, 0.683057, -0.718041
0.0293333, 1.01799, -0.720499
0.0298323, 0.779567, -0.912435
0.0286089, 0.510886, -0.655685
0.0404378, 0.85068, -0.417951
0.0381738, 1.03517, -0.0610922
