alpha, beta, delta, gamma 
0.171474, 0.016657, 0.0119713, 0.136025
0.163214, 0.0174496, 0.0121515, 0.121877
0.144417, 0.0158132, 0.0103315, 0.126809
0.143466, 0.0166333, 0.00850903, 0.111257
0.125033, 0.0167782, 0.00898186, 0.0971969
0.139684, 0.0174937, 0.00894319, 0.094779
0.121797, 0.0138803, 0.00788272, 0.0881013
0.1223, 0.0123359, 0.00873768, 0.0742435
0.146256, 0.0130181, 0.00959547, 0.0887685
0.12173, 0.0146735, 0.00864566, 0.0913334
0.129573, 0.0129591, 0.00907223, 0.0779734
0.119122, 0.0139126, 0.00855581, 0.125372
0.137079, 0.0109901, 0.0104711, 0.0985081
0.108002, 0.00995829, 0.00863579, 0.0921937
0.11627, 0.0107643, 0.009794, 0.0850156
0.106101, 0.0114385, 0.00967319, 0.09261
0.0888181, 0.0135032, 0.00842735, 0.0874815
0.107985, 0.0128306, 0.00940562, 0.0796005
0.135444, 0.0110246, 0.00878712, 0.0881931
0.107412, 0.0108187, 0.00692976, 0.0642714
0.0917988, 0.0120485, 0.00664815, 0.0845247
0.0955619, 0.0106415, 0.0065915, 0.0733437
0.106389, 0.0120228, 0.00810401, 0.102701
0.0894159, 0.0123913, 0.00911997, 0.0751502
0.0966188, 0.00996346, 0.010991, 0.0944456
0.0946729, 0.0100394, 0.0113949, 0.0792521
0.0801773, 0.0106275, 0.0115602, 0.088584
0.0952922, 0.0101989, 0.00863827, 0.0932644
0.0994508, 0.0107621, 0.0102552, 0.0642176
0.0817628, 0.0118154, 0.00807907, 0.0812721
0.0654821, 0.0116292, 0.00893795, 0.0833398
0.0932801, 0.0138714, 0.0086084, 0.0972158
0.129665, 0.0102995, 0.00990218, 0.0862202
0.0900109, 0.00937932, 0.0103886, 0.0962952
0.0823816, 0.00916143, 0.0096788, 0.0826761
0.0974314, 0.0106345, 0.0120794, 0.0927596
0.0608852, 0.010983, 0.00947487, 0.0704232
0.0942825, 0.00932839, 0.0101519, 0.08151
0.0823565, 0.0104181, 0.00966498, 0.0916631
0.0781793, 0.0108848, 0.00919156, 0.101314
0.104663, 0.0115948, 0.00852852, 0.0785652
0.115095, 0.0136568, 0.00820103, 0.0690019
0.110754, 0.0130206, 0.00987296, 0.0639367
0.101614, 0.0101918, 0.00932874, 0.080968
0.0932835, 0.0112087, 0.0109068, 0.0808913
0.102882, 0.0112621, 0.00778489, 0.0905199
0.122851, 0.00966891, 0.00899983, 0.100368
0.0966091, 0.0109339, 0.00829601, 0.0866541
0.120174, 0.0103928, 0.00726834, 0.0930857
